lat;lon;elev;value
59.1505;10.2025;72.0;0.2
59.7497;10.195;25.0;0.0
59.41096;10.27998;110.0;0.2
59.9383;10.515;203.0;15.0
59.4198;10.4647;95.0;1.2
59.2268;9.5772;41.0;0.2
59.73104;10.2142;14.0;0.0
59.2952;10.5145;3.0;3.7
59.1642;9.6638;75.0;0.0
59.1312;10.2558;10.0;1.5
59.94046;10.6227;123.0;10.5
59.7413;10.1672;30.0;0.0
59.8562;10.065;360.0;0.0
59.2417;10.4023;25.0;5.5
59.8909;10.608;5.0;8.6
59.1405;9.6663;4.0;0.2
59.7655;10.0582;54.0;0.0
59.1353;9.6385;10.0;0.2
59.1768;9.6297;9.0;0.0
59.1702;9.6017;98.0;0.0
59.1205;10.398;32.0;2.1
59.7377;10.5886;32.0;0.0
59.2625;10.4985;9.0;4.2
59.3822;9.2118;94.0;0.0
59.8953;10.2937;88.0;2.0
59.3808;10.2397;39.0;0.0
59.7908;10.2598;39.0;0.2
59.2782;10.4312;3.0;3.0
59.363;10.3672;46.0;0.1
59.8207;10.3292;197.0;0.0
59.6027;10.4047;4.0;26.4
59.8655;8.6978;1008.0;3.1
59.721;10.2168;100.0;0.0
59.2632;10.3603;30.0;3.5
59.7327;10.1973;25.0;0.0
59.7323;9.8728;13.0;0.1
59.7523;10.1705;25.0;0.0
59.129;10.2195;20.0;0.7
59.1992;9.5895;13.0;0.0
59.8685;9.3995;183.0;0.0
59.1988;9.635;40.0;0.0
59.1975;9.6087;13.0;0.1
59.4175;9.0287;105.0;0.4
59.0537;9.7013;3.0;0.8
59.3563;10.46;61.0;0.6
59.8303;10.439;115.0;0.0
59.7597;10.4523;125.0;0.0
59.9248;10.5878;71.0;9.7
59.4283;10.3847;70.0;0.6
59.2695;9.5667;45.0;0.0
59.8095;10.6308;104.0;0.0
59.1465;9.6177;62.0;0.4
59.8628;10.2177;125.0;0.0
59.7192;10.1458;230.0;0.0
59.86635;10.4966;30.0;1.6
59.9202;9.9728;64.0;0.6
59.2937;10.4275;55.0;1.7
59.7445;10.2312;4.0; 0
59.5513;10.5813;9.0;0.2
59.3173;10.3957;60.0;0.4
59.2317;9.5908;35.0;0.0
59.2173;10.4103;5.0;6.2
59.7112;10.2688;5.0;0.0
59.23662;10.45604;2.0;4.2
59.2017;9.5432;30.0;0.0
59.7538;10.1382;15.0;0.0
59.4173;10.2087;83.0;0.0
59.742;10.2115;15.0;3.2
59.2084;10.45442;1.0;8.5
59.9058;10.5122;67.0;21.3
59.3845;10.3985;40.0;0.5
59.7613;9.8922;15.0;0.2
59.1105;9.64141;5.0;0.1
59.04575;10.12506;19.0;0.6
59.7328;10.0258;166.0;0.1
59.1745;10.3655;1.0;6.2
59.169;10.4238;2.0;5.7
59.8005;10.4895;20.0;0.0
59.89233;10.54033;3.0;10.8
59.591;10.4053;3.0;0.1
59.371;10.2692;30.0;0.0
59.6469;10.104;437.0;0.0
59.61934;10.21504;60.0;0.0
59.75383;10.12062;6.0;0.0
59.22974;10.34575;26.0;4.7
59.8558;10.4358;163.0;0.8
59.49652;8.1999;560.0;2.3
59.713;10.146;193.0;0.0
59.3822;9.2128;93.0;0.0
59.0257;8.5187;252.0;3.4
59.0257;8.5187;252.0;33
59.2839;10.354614;8;2
59.277853;10.422249;18;7
59.278;10.415;18;3
59.285;10.423;18;2.8
59.345843;10.358133;143;0.3
59.250473;10.455551;10;5
59.746876;10.227027;40;0
59.747071;10.217;50;0
59.747;10.205;40;3
59.7512;10.20;40;0
59.745771;10.1972;50;2.8
59.745019;10.203252;50;2.9
59.254739;10.398538;71;28
