lat;lon;elev;value
59.7025;9.7773;155.0;1.2
59.30367;10.1975;20.0;2.9
59.9475;10.3855;250.0;0.8
59.548;10.49217;165.0;1.8
59.87033;8.92667;200.0;-1.2
59.819;10.33;250.0;0.9
59.6415;10.60383;12.0;4.6
59.432;10.42167;40.0;8.4
59.27283;9.28017;50.0;1.0
59.28417;8.0895;326.0;0.3
58.9817;9.6068;50.0;1.8
59.06441;9.94233;60.0;4.5
59.5873;8.585;335.0;-2.4
59.57017;10.05967;45.0;4.5
59.58317;10.1755;65.0;2.4
59.33085;10.379;12.0;3.3
58.9675;9.4837;77.0;2.1
59.18667;10.20717;94.0;7.2
59.2485;9.66367;280.0;6.2
59.511;10.2078;90.0;1.2
58.99283;9.92317;10.0;5.4
59.5315;8.1075;692.0;0.3
59.37405;10.3771;48.0;4.0
59.6625;10.38017;7.0;1.4
59.10617;8.887;100.0;0.5
59.6112;9.4545;390.0;2.8
59.1255;9.50767;10.0;-0.5
59.4895;8.64433;125.0;0.7
59.5993;8.7152;159.0;0.3
59.10997;9.73572;130.0;3.2
59.79783;8.258;959.0;0.0
59.964;10.3435;340.0;3.9
59.89233;10.54033;3.0;4.4
59.0727;9.923;70.0;6.0
59.2203;9.983;50.0;1.9
59.41096;10.27998;110.0;2.7
59.4198;10.4647;95.0;6.6
59.2268;9.5772;41.0;1.5
59.73104;10.2142;14.0;1.5
59.1723;8.3442;645.0;2.3
59.2952;10.5145;3.0;8.9
59.27;10.4019;3.0;8.1
59.7658;10.0123;139.0;1.3
59.1964;9.9642;31.0;2.7
59.17082;8.73424;489.0;2.8
59.2417;10.4023;25.0;7.1
59.7655;10.0582;54.0;1.8
59.69233;8.05357;796.0;0.9
59.1683;10.2752;50.0;7.6
59.5022;8.9837;1102.0;0.0
59.2938;10.2983;33.0;5.8
59.1205;10.398;32.0;8.2
59.5666;9.2111;20.0;0.7
59.8358;8.315;949.0;0.6
59.2625;10.4985;9.0;8.5
59.3822;9.2118;94.0;0.4
59.3808;10.2397;39.0;1.6
59.7908;10.2598;39.0;1.3
59.8295;8.3265;885.0;1.0
59.2782;10.4312;3.0;8.0
59.363;10.3672;46.0;8.5
59.6027;10.4047;4.0;2.2
59.8655;8.6978;1008.0;2.0
59.2632;10.3603;30.0;7.1
59.7323;9.8728;13.0;0.0
59.96;10.5315;281.0;3.8
59.4175;9.0287;105.0;-0.3
59.3563;10.46;61.0;5.6
59.4283;10.3847;70.0;2.9
59.7238;9.0245;191.0;0.7
59.0523;8.6537;570.0;2.8
59.2937;10.4275;55.0;7.3
59.5513;10.5813;9.0;5.8
59.3173;10.3957;60.0;5.3
59.2173;10.4103;5.0;7.5
59.23662;10.45604;2.0;8.4
59.4173;10.2087;83.0;8.1
59.7498;10.0275;4.0;1.6
59.2084;10.45442;1.0;8.4
59.3845;10.3985;40.0;4.0
59.7613;9.8922;15.0;0.2
59.04575;10.12506;19.0;7.3
59.8103;8.9863;314.0;1.7
59.7328;10.0258;166.0;1.2
59.2788;9.2813;83.0;1.3
59.8861;9.058;514.0;0.0
59.1745;10.3655;1.0;8.2
59.169;10.4238;2.0;8.4
59.8387;9.8948;18.0;1.0
59.371;10.2692;30.0;8.1
59.591;10.4053;3.0;2.9
59.8247;8.3477;875.0;1.3
59.6469;10.104;437.0;4.0
59.61934;10.21504;60.0;1.3
59.75383;10.12062;6.0;1.6
59.22974;10.34575;26.0;7.9
59.8558;10.4358;163.0;4.4
59.49652;8.1999;560.0;0.7
58.9688;10.148;15.0;8.6
59.6247;9.6377;170.0;0.2
59.0872;9.6603;100.0;2.7
59.713;10.146;193.0;0.9
59.0272;10.5242;6.0;9.2
59.1845;10.2553;88.0;7.4
59.3822;9.2128;93.0;0.6
59.4352;10.578;14.0;5.6
59.8497;8.6562;1804.0;-4.0
59.8397;8.1785;977.0;0.1
59.0257;8.5187;252.0;3.8
59.283686; 10.354614; 8; 20
59.277853; 10.422249; 18; 9
59.345843; 10.358133;143; -1
59.250473; 10.455551; 10; 18
59.746876; 10.227027; 40; 3
59.748071; 10.2072; 50; 2.4
59.760466; 10.036762; 100; 0.2
59.254739; 10.398538; 71; 10
