lon;lat;elev;value
9.4023;61.5308;928;0
10.6878;60.0513;360;0.9
8.1785;59.8397;977;0.3
8.5187;59.0257;252;0.7
5.6508;58.7605;87;2.6
5.637;58.8843;7;2.2
6.6452;61.1724;49;0.1
8.1125;61.178;956;0
6.5585;61.9157;208;0.1
12.0125;60.6142;185;0.5
7.4218;62.2305;11;0
10.1788;62.9535;299;0
11.4493;64.0217;6;0.1
12.846;64.7422;140;0
13.218;65.7842;72;0
13.5867;66.1317;126;0
17.662;68.432;200;0
16.5362;68.8029;45;0
18.5437;69.0577;76;0
23.5345;69.5797;381;0
25.9782;71.0105;14;0
9.224;60.9785;358;0.9
8.1948;60.53;772;0
9.2128;59.3822;93;0
7.2143;59.8118;990;0.5
8.0767;58.2;12;0
6.9097;58.923;560;1.5
6.733;59.8315;1010;2.1
4.8723;59.3065;55;2.4
7.2798;60.4085;735;0
5.2265;60.2892;48;3.5
6.7642;61.4233;3;0.5
11.8562;65.7017;4;0
11.3747;61.1847;255;0.3
15.3155;66.9368;39;0
15.4857;67.1658;7;0
9.5423;62.2207;1012;0
23.3582;69.9775;3;0
27.8298;71.033;13;0
31.0962;70.3707;10;0
10.8695;60.7002;264;0
12.2718;61.2943;360;0.9
10.6693;59.9847;514;1.5
8.5225;58.34;6;0.3
6.5675;58.109;14;0
10.829;60.1173;170;0.7
6.1212;59.0512;300;2.8
6.3499;59.6479;5;4.8
11.0802;60.2065;202;0.5
5.3327;60.383;12;4.8
6.1105;60.647;17;1.9
7.2755;60.6563;1162;0.4
8.5473;62.6785;6;0.7
8.7753;62.722;405;0
9.1125;63.5187;13;0
10.4538;63.4107;127;0.4
10.8795;63.4882;27;0.2
13.3667;65.1662;319;0
14.954;66.4993;251;0
12.486;66.7628;17;0
23.6772;70.6807;81;0
10.732;62.2695;482;0
11.0697;60.818;221;0
10.8055;60.7733;128;0
10.8288;59.1513;10;0.5
10.798;59.3742;40;1.7
10.7818;59.6605;92;1.7
9.1323;60.567;166;0
10.146;59.713;193;0
9.66;59.091;100;0.3
9.0263;58.87;32;0.6
8.7893;58.3988;12;0
8.4167;58.6007;162;0.6
7.803;58.6863;207;1
5.5553;58.6592;24;2.6
5.7208;59.4927;20;4.6
5.2038;60.0167;32;2.6
5.964;60.3887;455;8.1
6.222;60.6455;328;0.4
7.8355;62.4458;67;0
9.6667;62.6043;604;0
10.5608;62.9763;127;0
10.9305;63.4597;12;0.3
13.904;66.2348;5;0
13.615;68.155;26;0
18.9368;69.6537;100;0
10.4762;61.0917;240;0.1
10.72;59.9423;94;0.4
10.4358;59.8558;163;0.3
8.9228;61.2508;965;0.2
10.1237;59.7537;8;0
10.3483;59.23;26;0.6
7.5273;59.1972;308;0.5
7.4517;58.0247;10;0
6.5045;58.507;65;1.9
5.7278;58.9563;72;2.7
5.7243;60.5205;10;0.5
7.2085;60.7192;960;0.2
7.9957;61.5648;1413;2.2
5.0443;61.2928;7;4.1
8.2;62.2583;579;0
12.3837;64.531;95;0
13.646;66.9035;9;0
16.1312;69.3073;10;0
28.159;70.2122;32;0
25.5023;69.4635;131;0
