lon;lat;elev;value
9.1125;63.5187;13;2
10.4538;63.4107;127;-2.8
11.7277;63.4115;169;-3.1
11.5705;64.4708;2;0.3
10.9965;65.2023;23;3.6
13.3667;65.1662;319;-0.4
14.954;66.4993;251;0.3
12.611;66.3705;10;2.9
12.486;66.7628;17;4.4
14.6485;68.1535;14;2.5
22.4428;70.607;438;-2.3
23.6772;70.6807;81;0.2
10.732;62.2695;482;-12.3
29.8977;69.7255;89;-1.9
11.0697;60.818;221;-5.9
10.1277;61.4648;1030;-6.6
10.8288;59.1513;10;-1.7
10.798;59.3742;40;-1.5
10.7818;59.6605;92;-2
9.1323;60.567;166;-12.8
10.146;59.713;193;-4.8
9.6377;59.6247;170;-10.2
10.148;58.9688;15;-2.3
9.66;59.091;100;-3.7
11.1128;59.2852;57;-2.3
9.0263;58.87;32;-6.9
8.4167;58.6007;162;-8.7
7.803;58.6863;207;-4.8
6.8817;59.3335;1105;-12.9
5.5553;58.6592;24;1.5
5.4122;59.0705;21;2.3
5.7208;59.4927;20;-3.6
5.0683;59.9083;25;1.9
5.2038;60.0167;32;2.9
5.964;60.3887;455;-5.6
6.222;60.6455;328;-2
4.715;60.7525;19;3.7
5.76;61.391;321;1.5
6.1043;61.8293;60;2.9
7.8355;62.4458;67;-0.9
9.6667;62.6043;604;-8.1
7.8158;63.1093;62;1.5
10.5608;62.9763;127;-9.2
10.9305;63.4597;12;-2.8
12.4783;65.9635;17;2
13.904;66.2348;5;2.7
14.3015;66.3643;70;1.1
15.943;68.368;8;1.4
13.615;68.155;26;1.8
18.9368;69.6537;100;1.1
19.4997;70.2452;21;1.7
20.2823;69.3875;20;3
22.8177;70.4107;18;1.3
29.7;70.6028;152;-1.6
29.8352;70.0653;39;-0.8
10.4762;61.0917;240;-10
10.72;59.9423;94;-4.1
10.4358;59.8558;163;-4.1
9.2928;61.0128;822;-17.4
8.9228;61.2508;965;-9.6
10.1237;59.7537;8;-3.8
10.3483;59.23;26;-2.3
7.4805;60.1833;1250;-24.2
8.5263;60.4188;798;-22.7
7.5273;59.1972;308;-10.5
7.4517;58.0247;10;-2
6.5045;58.507;65;-4.5
5.7278;58.9563;72;0.4
5.2115;59.3445;24;1.3
5.7243;60.5205;10;0
7.2085;60.7192;960;-8.6
7.9957;61.5648;1413;-12.5
6.0807;62.181;74;4.9
5.268;62.3293;38;5
8.2;62.2583;579;-11.7
7.2617;62.7443;3;-1
11.0075;63.2248;160;-7.1
10.2237;63.9678;30;-0.7
12.3837;64.531;95;-0.8
13.2892;65.6215;50;0.2
13.646;66.9035;9;3.1
11.0803;61.4255;257;-9.1
14.6693;68.2453;9;1.1
12.1038;67.5267;4;2.6
16.1312;69.3073;10;1.1
22.1457;70.4865;6;1.5
28.159;70.2122;32;-0.6
25.5023;69.4635;131;-4.2
