lon;lat;elev;value
11.3518;62.5773;625;-19.6
9.4023;61.5308;928;-10.6
9.2862;62.1133;973;-10.8
10.6878;60.0513;360;-7
8.5175;60.8705;807;-9.9
11.5801;59.9119;128;-1.8
9.1468;60.0435;275;-9.8
8.1785;59.8397;977;-15.3
9.1479;58.6361;4;-2.7
8.5187;59.0257;252;-8.2
7.048;57.9815;16;0.8
5.637;58.8843;7;0.2
6.0365;59.16;30;0.1
5.078;59.4382;25;1.8
6.6452;61.1724;49;2.3
8.1125;61.178;956;-19.3
7.1413;61.158;497;-3.5
5.0278;61.5832;9;4.1
6.5585;61.9157;208;0.2
12.0125;60.6142;185;-2.4
7.4218;62.2305;11;4.7
6.115;62.5617;22;4
6.5378;62.8585;20;4.2
8.4667;63.8467;5;3.1
10.1788;62.9535;299;-9.4
11.4493;64.0217;6;-1.3
9.6105;63.7045;10;1.1
10.455;64.4013;18;4.1
11.4992;61.3763;872;-10.6
12.846;64.7422;140;0.4
11.1408;64.835;4;2.8
13.218;65.7842;72;1.1
13.5867;66.1317;126;0.6
14.53;66.3962;110;0.5
14.3637;67.267;11;3
17.662;68.432;200;-0.6
16.5362;68.8029;45;0.7
18.1288;69.2897;982;-2.2
18.5437;69.0577;76;1.1
20.094;69.5588;710;-3.3
20.9553;69.7887;6;-1.3
23.5345;69.5797;381;-11.1
23.9817;71.0937;13;1.7
25.9782;71.0105;14;-1.5
10.578;59.4352;14;-0.7
9.224;60.9785;358;-16.5
8.1948;60.53;772;-10.9
9.2128;59.3822;93;-5.5
7.3653;59.7662;821;-18.4
7.2143;59.8118;990;-14.5
8.0767;58.2;12;-4.1
6.9097;58.923;560;-16.5
6.733;59.8315;1010;-7.3
4.8723;59.3065;55;4.1
7.2798;60.4085;735;-10.1
5.2265;60.2892;48;1.6
7.5025;61.1033;2;-1.7
6.7642;61.4233;3;-0.3
12.0067;60.1903;148;-2.8
4.986;62.034;75;3.6
6.7552;62.6512;43;2.1
9.0878;63.0493;410;-3.8
9.4052;64.1727;16;4.3
11.9927;65.22;302;0.4
12.2182;65.4567;9;3.1
11.8562;65.7017;4;3.6
11.3747;61.1847;255;-7.5
15.3155;66.9368;39;-1
15.4857;67.1658;7;3.2
13.8958;67.4048;24;3.4
16.6833;68.4912;26;0.6
12.7228;67.6527;4;4.3
15.0293;68.58;3;2
16.003;69.2413;436;-1.5
17.8312;69.6005;33;1
19.7017;68.7817;204;-10.4
18.9133;69.6767;8;1.3
9.5423;62.2207;1012;-11.9
23.3582;69.9775;3;-1.9
23.5387;68.7553;382;-12.7
24.99;70.06;5;2
27.8298;71.033;13;0.2
28.217;71.0888;8;1
25.346;69.3003;591;-6.3
29.0348;70.8708;13;0.6
31.0962;70.3707;10;-0.3
31.044;70.3545;12;-1.3
11.8153;62.6793;747;-16
10.1082;61.6513;930;-15.5
7.6637;62.0162;872;-11.9
9.1147;62.07165;638;-11.4
12.2718;61.2943;360;-7.1
10.6693;59.9847;514;-8.3
10.0358;60.9345;542;-15.5
9.605;60.383;142;-14.8
8.593;60.8548;604;-19.9
10.2553;59.1845;88;-3.2
10.5242;59.0272;6;0
11.0383;59.9708;108;-3.2
6.5675;58.109;14;-1.7
5.8718;58.4353;49;0.9
10.829;60.1173;170;-4.9
6.1212;59.0512;300;-3.4
6.3499;59.6479;5;-3.3
11.0802;60.2065;202;-4.4
5.3407;59.7933;49;1.4
5.3327;60.383;12;2.8
6.1105;60.647;17;-0.2
5.9733;60.8562;125;-1.3
5.3813;61.0272;38;3.5
7.2755;60.6563;1162;-9.6
7.7703;62.4555;1294;-5.3
8.5473;62.6785;6;0.3
8.7753;62.722;405;-3.9
7.9533;63.5185;5;2.7
