lon;lat;elev;value
6.5675;58.1090;14;18.60
9.5745;58.8565;3;19.40
10.5242;59.0272;6;19.30
10.4538;63.4107;127;21.00
19.6278;69.0935;230;16.30
6.6538;60.3185;12;20.10
5.3327;60.3830;12;21.10
10.6693;59.9847;514;21.80
9.1125;63.5187;13;19.10
22.3413;70.1728;560;13.80
5.3407;59.7933;49;22.60
14.9540;66.4993;251;14.20
10.8795;63.4882;27;22.80
8.7753;62.7220;405;16.30
14.6485;68.1535;14;11.80
9.3520;62.2958;1475;12.30
10.4535;63.4107;127;21.10
5.2777;60.2913;37;19.30
6.1105;60.6470;17;22.80
5.2983;61.7707;16;19.50
7.9533;63.5185;5;13.00
5.9733;60.8562;125;21.00
7.3897;59.5766;841;15.10
10.5315;59.9600;281;24.80
7.2755;60.6563;1162;8.50
10.4657;63.3064;143;23.20
10.0358;60.9345;542;23.00
9.0287;59.4175;105;24.50
23.6772;70.6807;81;16.70
10.4600;59.3563;61;23.30
22.0705;70.2368;27;12.90
8.5930;60.8548;604;24.20
11.0802;60.2065;202;24.80
6.4013;62.4654;33;18.20
22.4428;70.6070;438;12.40
5.3813;61.0272;38;16.10
11.8153;62.6793;747;20.40
8.0038;60.6811;992;18.10
7.7703;62.4555;1294;4.90
7.0452;58.1340;6;23.00
18.8772;69.6988;63;14.60
23.6168;70.1282;190;16.50
10.1082;61.6513;930;21.50
10.2553;59.1845;88;23.40
10.9965;65.2023;23;9.80
6.8167;62.4775;5;19.50
8.5473;62.6785;6;22.50
9.1147;62.0716;638;21.80
6.9077;61.3648;443;14.80
10.6268;62.1093;478;24.80
10.3847;59.4283;70;24.40
6.2805;60.3632;49;20.90
10.8107;59.6703;120;25.60
5.8718;58.4353;49;17.80
30.0410;69.4552;27;17.90
20.5795;69.2235;502;17.20
10.7320;62.2695;482;25.10
6.8490;62.3065;1050;13.40
29.8977;69.7255;89;16.70
12.4860;66.7628;17;13.20
11.5705;64.4708;2;23.10
17.4212;68.4372;31;17.50
13.3667;65.1662;319;17.10
6.4733;60.8655;700;8.20
6.3758;61.4202;311;17.10
6.1212;59.0512;300;19.70
10.8695;60.7002;264;24.40
28.9648;70.3357;470;6.80
8.5225;58.3400;6;21.60
8.3685;61.6740;1844;10.00
11.7277;63.4115;169;24.00
5.3320;60.3837;46;21.30
6.4797;62.4848;69;21.30
7.6637;62.0162;872;10.20
10.8290;60.1173;170;26.90
9.8495;63.3153;4;16.70
12.2718;61.2943;360;25.80
8.0532;58.0732;9;17.00
20.1145;70.1043;57;14.80
6.8608;61.1792;45;19.00
11.8562;65.7017;4;14.30
9.0245;59.7238;191;25.10
13.1848;66.3892;115;17.10
7.5025;61.1033;2;20.90
10.5472;59.9682;370;24.30
9.8203;62.6597;660;19.30
6.7330;59.8315;1010;10.70
10.5357;59.9603;262;24.80
5.9538;59.6625;8;22.90
29.0348;70.8708;13;15.70
23.5387;68.7553;382;17.90
7.2143;59.8118;990;7.90
6.9097;58.9230;560;18.90
11.3747;61.1847;255;26.30
6.0960;61.4573;980;12.70
20.4310;70.0750;850;6.90
10.7623;59.9190;37;25.90
9.2128;59.3822;93;24.20
7.2088;62.7560;258;19.10
5.5420;60.3828;345;18.80
10.3364;63.4465;44;23.40
17.8312;69.6005;33;14.40
13.8958;67.4048;24;13.50
12.1887;61.3188;1020;18.10
5.7262;58.7345;92;19.30
7.3653;59.7662;821;16.40
9.0878;63.0493;410;17.90
31.0962;70.3707;10;9.30
23.3582;69.9775;3;16.90
10.5592;60.3558;245;25.40
15.0293;68.5800;3;15.40
10.2973;63.3403;48;22.40
4.9860;62.0340;75;14.30
10.2662;60.1403;126;24.40
9.4052;64.1727;16;13.00
10.7202;59.9423;94;24.50
10.8145;59.3188;12;24.10
9.2240;60.9785;358;25.10
11.3933;60.1268;160;26.10
8.0767;58.2000;12;21.00
16.0030;69.2413;436;12.40
31.0440;70.3545;12;8.50
15.3155;66.9368;39;21.10
10.4675;61.1145;210;26.20
9.9907;62.0630;800;22.60
12.7228;67.6527;4;11.30
8.6537;59.0523;570;24.70
6.7552;62.6512;43;18.10
9.9728;59.9202;64;25.70
11.3905;59.3882;100;26.50
10.2478;60.1665;140;25.90
10.2312;59.7445;4;26.10
24.9793;70.0600;5;20.00
15.4857;67.1658;7;18.30
6.7642;61.4233;3;19.80
28.2170;71.0888;8;14.50
10.1872;61.4582;200;25.10
11.9927;65.2200;302;17.70
10.5813;59.5513;9;24.30
19.5442;69.1025;1074;9.00
10.6932;63.5652;32;21.50
5.2265;60.2892;48;17.80
25.3460;69.3003;591;13.40
12.2182;65.4567;9;20.00
10.4548;61.1478;388;27.50
8.1948;60.5300;772;17.70
9.1542;61.7247;599;23.10
19.7017;68.7817;204;20.00
7.9250;62.9300;990;12.70
29.2440;69.1470;56;18.20
27.8298;71.0330;13;15.60
17.9660;68.3995;365;14.60
9.5423;62.2207;1012;18.30
7.2798;60.4085;735;15.60
16.6833;68.4912;26;19.00
10.4103;59.2173;5;24.70
6.5285;61.2028;15;20.30
6.6467;59.0552;5;21.00
10.4560;59.2366;2;23.10
18.9133;69.6767;8;16.90
12.4255;65.8295;21;19.20
13.4483;65.3143;940;13.20
14.4347;68.6072;8;14.10
4.8723;59.3065;55;16.80
4.6817;61.5717;26;14.20
15.8768;68.5172;6;18.30
14.1942;65.8255;406;12.00
10.5780;59.4352;14;22.60
15.3112;68.7183;500;12.90
20.5507;69.5417;14;20.90
6.4347;60.2263;1212;10.70
7.4247;60.0825;1160;8.50
12.0067;60.1903;148;27.50
21.7223;70.1227;915;10.70
25.9782;71.0105;14;14.40
11.1408;64.8350;4;17.50
16.3608;68.5863;1095;4.90
11.4992;61.3763;872;20.40
17.7905;68.1905;740;6.00
10.1788;62.9535;299;21.50
7.2173;62.2880;34;20.60
6.5395;60.0447;89;22.50
10.0275;59.7498;4;25.10
10.8236;59.8427;92;25.40
12.0462;61.8870;672;23.30
14.3637;67.2670;11;14.70
5.3967;60.3500;221;19.80
10.6878;60.0513;360;24.80
13.2180;65.7842;72;22.50
6.5378;62.8585;20;16.70
12.8460;64.7422;140;21.50
7.5270;60.5938;1210;9.80
14.5300;66.3962;110;18.90
8.4968;60.8397;1344;13.80
11.0782;60.2105;203;26.80
9.5827;62.4473;680;20.30
21.8958;69.8362;20;15.70
10.4544;59.2084;1;22.90
6.4325;62.4317;1;21.30
6.6293;60.1280;470;18.20
9.2862;62.1133;973;20.00
7.4128;58.6172;268;21.60
10.3985;59.3845;40;24.80
20.9553;69.7887;6;17.30
8.7057;60.2550;648;21.50
8.6562;59.8497;1804;8.90
7.4218;62.2305;11;20.70
10.2588;61.2247;375;24.30
6.9933;62.1910;900;14.30
19.3537;69.0222;85;24.10
8.1785;59.8397;977;16.10
17.6620;68.4320;200;17.80
20.0940;69.5588;710;11.90
7.1413;61.1580;497;19.20
11.5801;59.9119;128;26.20
9.9705;63.5858;23;19.60
8.7028;58.5158;134;21.90
10.9185;59.9683;200;24.90
13.9298;66.6432;1362;6.20
9.8922;59.7613;15;26.80
23.5345;69.5797;381;13.20
10.1250;59.0467;19;20.90
5.0278;61.5832;9;17.50
8.9863;59.8103;314;21.40
16.5362;68.8029;45;19.80
10.0258;59.7328;166;26.50
13.9480;66.8275;520;14.60
18.6208;69.4229;740;12.10
9.1468;60.0435;275;25.00
6.0365;59.1600;30;18.90
7.5693;60.3778;1250;8.20
8.0520;58.1502;12;22.50
28.9563;70.2270;150;14.20
11.0962;59.5873;87;25.00
5.0780;59.4382;25;13.30
10.8040;59.9230;100;25.30
9.0580;59.8861;514;21.00
10.3655;59.1745;1;21.30
10.5143;61.1431;562;25.00
15.4628;66.7435;520;14.20
8.5187;59.0257;252;21.60
8.4667;63.8467;5;14.40
10.4238;59.1690;2;24.30
6.4697;59.4128;639;16.70
10.3597;63.3628;135;24.10
9.8948;59.8387;18;25.50
5.6508;58.7605;87;19.90
7.3892;61.5972;1566;5.70
7.0480;57.9815;16;17.50
11.1660;59.5872;141;25.40
6.6452;61.1724;49;20.30
30.0700;70.7057;9;9.20
6.5742;60.1173;147;21.20
18.6938;69.9903;26;13.20
11.4493;64.0217;6;23.60
5.6370;58.8843;7;19.20
10.4053;59.5910;3;22.20
18.9095;69.6538;20;17.70
15.1018;67.2763;20;19.80
11.4255;63.9425;59;24.00
9.6105;63.7045;10;16.70
13.5867;66.1317;126;19.40
9.2143;62.0172;560;22.60
8.3477;59.8247;875;17.60
9.9947;62.1282;694;21.70
9.1479;58.6361;4;18.00
23.9817;71.0937;13;10.90
12.0125;60.6142;185;26.00
18.0767;68.4323;512;13.10
10.5337;63.4248;23;22.60
6.1150;62.5617;22;18.30
10.4550;64.4013;18;14.20
7.6720;62.5643;4;19.30
10.1052;59.6473;437;23.00
8.1125;61.1780;956;16.20
9.4391;60.1358;143;27.10
6.5585;61.9157;208;23.10
11.3518;62.5773;625;22.80
8.5175;60.8705;807;18.60
9.4023;61.5308;928;21.50
15.8282;67.3335;665;7.30
18.5437;69.0577;76;21.30
8.3690;61.6775;1894;10.50
13.5403;64.9608;460;9.20
