lon;lat;elev;value
5.2115;62.1467;75;17.80
10.9035;59.9535;123;25.70
5.2007;61.6788;715;14.50
10.7200;59.9423;94;26.40
16.1312;69.3073;10;18.60
7.5273;59.1972;308;20.40
11.5580;60.3883;147;25.50
13.6460;66.9035;9;15.00
11.0322;59.0418;20;24.30
10.2150;59.6193;60;25.70
10.1207;59.7538;6;25.80
8.2000;62.2583;579;20.60
20.8693;69.4802;20;22.30
6.7108;59.8357;1370;7.70
14.4309;67.3084;5;14.30
11.0803;61.4255;257;26.20
10.4647;59.4198;95;24.30
14.6693;68.2453;9;14.10
12.1038;67.5267;4;15.00
9.0630;61.1220;521;23.20
5.3418;60.4742;90;18.80
12.0177;64.5090;32;25.70
5.2680;62.3293;38;13.50
9.3014;61.0032;822;21.40
10.4762;61.0917;240;24.80
8.1862;62.9133;23;20.30
9.5772;59.2268;41;25.20
5.7243;60.5205;10;21.70
11.0422;59.3193;45;26.90
5.7592;58.8662;19;19.90
6.9373;60.7022;695;14.80
5.0443;61.2928;7;16.20
13.9067;66.8303;930;12.20
6.2877;62.1600;690;13.10
20.4153;69.5576;697;14.60
9.4798;61.8883;940;20.50
5.7278;58.9563;72;20.20
10.2142;59.7310;14;26.10
5.2115;59.3445;24;18.00
10.2237;63.9678;30;19.10
8.5263;60.4188;798;20.70
7.2617;62.7443;3;19.90
8.3442;59.1723;645;20.00
10.5145;59.2952;3;21.70
8.8945;61.4183;1088;14.30
10.0123;59.7658;139;24.60
14.8892;66.2785;550;16.20
10.0003;62.0103;780;22.80
11.2028;60.8028;182;25.50
11.0075;63.2248;160;20.20
18.9820;69.6942;80;17.00
7.8173;59.7675;1340;11.30
13.2892;65.6215;50;22.70
7.9957;61.5648;1413;10.10
10.3483;59.2300;26;24.00
25.5023;69.4635;131;18.40
18.2442;68.6457;230;17.80
12.3837;64.5310;95;25.10
10.4023;59.2417;25;24.20
28.1590;70.2122;32;17.80
10.4228;63.3987;84;23.70
7.4805;60.1833;1250;9.10
14.1663;67.0930;600;12.70
12.4692;64.1587;195;24.50
20.5787;69.4818;1237;9.50
10.4358;59.8558;163;25.30
6.5045;58.5070;65;23.40
15.9730;67.0129;565;13.20
20.1387;69.8915;45;15.70
10.0582;59.7655;54;23.10
6.0781;62.1804;74;21.60
7.4517;58.0247;10;19.00
22.1457;70.4865;6;14.20
7.2525;62.2970;2;20.80
8.9228;61.2508;965;19.60
7.2085;60.7192;960;9.40
6.2108;62.4703;15;19.50
8.1992;59.4970;560;21.90
10.9305;63.4597;12;20.80
6.8717;62.5158;625;18.60
11.2302;60.3943;143;26.90
10.5608;62.9763;127;25.00
10.1480;58.9688;15;18.00
9.9155;59.7688;7;26.30
8.9837;59.5022;1102;15.90
19.0065;69.6508;3;18.90
10.5493;64.7977;33;14.00
14.3015;66.3643;70;17.70
10.2983;59.2938;33;24.00
6.4298;60.2178;1390;11.60
10.3980;59.1205;32;21.50
5.7600;61.3910;321;19.40
10.3498;63.4223;156;21.80
29.7000;70.6028;152;13.70
9.6377;59.6247;170;25.10
9.6604;59.0872;100;23.50
9.2105;59.5667;20;25.80
20.2823;69.3875;20;22.70
5.4122;59.0705;21;16.60
7.8158;63.1093;62;17.80
8.3150;59.8358;949;16.60
9.3920;62.6352;1550;9.50
9.1323;60.5670;166;25.90
6.8817;59.3335;1105;10.10
20.1518;69.5599;670;14.80
5.3358;60.4040;175;18.30
10.7088;61.1638;930;21.60
10.7818;59.6605;92;24.90
9.2118;59.3822;94;24.20
10.1460;59.7130;193;24.70
5.9640;60.3887;455;18.50
6.4265;60.6252;54;22.20
15.9430;68.3680;8;11.40
10.5112;61.1040;507;25.80
6.1065;61.8902;1020;13.20
5.2038;60.0167;32;18.70
11.1128;59.2852;57;25.80
6.1498;59.2300;43;17.70
10.7980;59.3742;40;24.60
10.8185;59.8775;135;24.70
13.5978;64.4595;420;20.30
12.4783;65.9635;17;17.40
4.7150;60.7525;19;14.50
19.4997;70.2452;21;15.00
15.2832;68.6480;14;18.20
7.8030;58.6863;207;23.00
9.6667;62.6043;604;21.00
10.2397;59.3808;39;25.60
10.2598;59.7908;39;25.60
7.2436;62.9087;80;18.50
18.6773;69.4140;124;15.70
18.9368;69.6537;100;17.60
9.0263;58.8700;32;23.20
10.2642;63.4182;451;18.80
10.4312;59.2782;3;25.00
13.6150;68.1550;26;16.20
5.0683;59.9083;25;14.20
5.7208;59.4927;20;21.20
10.6480;63.3188;285;21.30
20.5268;69.4722;72;21.10
7.2275;62.7413;5;19.40
8.4167;58.6007;162;24.20
10.8055;60.7733;128;22.30
10.4047;59.6027;4;26.00
7.7027;63.1257;5;16.40
10.4428;63.4428;13;23.50
6.5887;59.9333;255;21.50
13.9793;66.8102;39;15.40
10.1277;61.4648;1030;19.00
13.9040;66.2348;37;19.20
8.7893;58.3988;12;16.80
8.6978;59.8655;1008;18.30
17.4802;68.4210;1000;10.40
6.1043;61.8293;60;19.10
10.7150;59.9492;121;25.40
8.2423;61.7195;700;18.90
7.9130;60.0180;954;14.80
29.1003;70.3060;268;10.80
10.6710;59.9573;177;25.00
11.0950;60.8002;141;25.60
10.9777;59.9775;143;25.70
6.2220;60.6455;328;20.80
9.5413;61.7782;309;26.20
22.8177;70.4107;18;13.90
7.8355;62.4458;67;22.50
10.8288;59.1513;10;18.30
10.7543;59.3980;35;25.60
9.8728;59.7323;13;26.20
5.5553;58.6592;24;16.30
29.8352;70.0653;39;15.40
8.6895;62.9853;5;22.60
11.0697;60.8180;221;24.70
7.1603;60.8625;860;15.30
9.6050;60.3830;142;27.10
6.3499;59.6479;5;20.50
12.6110;66.3705;10;16.90
11.0383;59.9708;108;26.50
